# t[days] ztfg
0.01000 9.696 
0.51000 18.291 
1.01000 20.472 
1.51000 21.674 
2.01000 22.487 
2.51000 23.101 
3.01000 23.579 
3.51000 23.971 
4.01000 24.306 
4.51000 24.602 
5.01000 24.845 
5.51000 25.084 
6.01000 25.272 
6.51000 25.461 
7.01000 25.624 
7.51000 25.776 
8.01000 25.927 
8.51000 26.051 
9.01000 26.171 
9.51000 26.290 
10.01000 26.399 
10.51000 26.495 
11.01000 26.592 
11.51000 26.688 
12.01000 26.777 
12.51000 26.854 
13.01000 26.930 
13.51000 27.006 
14.01000 27.083 
14.51000 27.154 
15.01000 27.215 
15.51000 27.276 
16.01000 27.338 
16.51000 27.399 
17.01000 27.460 
17.51000 27.517 
18.01000 27.566 
18.51000 27.615 
19.01000 27.664 
19.51000 27.713 
20.01000 27.762 
