Nested Sampling Global Log-Evidence           :   -0.924643262166297575E+01  +/-    0.452810563732052793E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.924643262166297575E+01 +/-    0.452810563732052793E-01
Local Log-Evidence   -0.924643262166297575E+01 +/-    0.452810563732052793E-01

Dim No.       Mean        Sigma
   1    0.725357996808694683E+01    0.157989845601230838E+01
   2    0.325438645237592468E+02    0.942956497653922732E+01
   3    0.512171547252831760E+00    0.179617019668053490E+00
   4   -0.413639155260301261E+00    0.535132682962864425E+00
   5   -0.236408787221421157E+01    0.544911113544240377E+00
   6   -0.114830455336295967E+01    0.644275957583381187E+00
   7    0.264620094244146786E+00    0.155776631458625109E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.631191355312047708E+01
   2    0.468085538783685848E+02
   3    0.646776184006769728E+00
   4   -0.176131442934077675E-01
   5   -0.255434034957146361E+01
   6   -0.702880193675362364E+00
   7    0.207838759842447846E+00

MAP Parameters
Dim No.        Parameter
   1    0.631191355312047708E+01
   2    0.468085538783685848E+02
   3    0.646776184006769728E+00
   4   -0.176131442934077675E-01
   5   -0.255434034957146361E+01
   6   -0.702880193675362364E+00
   7    0.207838759842447846E+00
