luminosity_distance KNtimeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B Ebv log10_E0 thetaCore thetaWing ksiN L0 dL b q ts log_likelihood log_prior
148.52206110954285 0.6620309352874756 0.14602436007375327 2.1877559423446655 2.056319832801819 -0.3574866056442261 -1.7065150737762451 0.010159807133674622 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.577743615245728 -11.080296392631327
174.16963450216258 -1.7376809656440186 0.15548708117576093 -0.39426076443629743 2.9185998079718414 -0.4726462788358585 -2.578983659165659 0.18826708499071415 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.4578743805381205 -11.398923966368416
121.90633007490558 -0.3514417004666677 0.059793205845862764 -0.04135872646348204 2.544108077472095 -0.18739157496028858 -1.4425207236586708 0.36456823992398657 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.323843631000717 -12.965417612352974
109.36800201138944 0.4664804261190252 0.11150973464503056 1.0624199053586443 2.231695550745774 -0.4669370816296907 -0.7195634517394676 0.43836700949998886 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.007387950677563 -12.782318018988699
108.70888829231262 -0.7909674644470215 0.11347514777828492 -2.3681437969207764 2.585983157157898 -0.5135423541069031 -0.9462286233901978 0.08645742137432098 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -5.00091610905824 -11.476915323432463
106.22854320233145 -1.633927485217718 0.13047460433800623 -1.023460791703908 2.5093861842892817 -0.08107204474015273 -0.7444957951980191 0.4391550087382672 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.910001689502291 -12.631913420383766
153.84331584935563 -0.2731384917676758 0.11682403311014646 0.4456447290537593 2.520040862379577 -0.013748283761722213 -1.7960818705526176 0.3690676685655241 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.9093415958514734 -12.319207741461495
188.50003480911255 -0.5756978392601013 0.15764034523910278 -2.750694751739502 2.3954604268074036 -0.5475908517837524 -0.4568018317222595 0.11293848731517792 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.758692266613687 -11.206216477688095
182.93451711828274 -1.488173483243015 0.15975782489917628 -0.7746079524959129 2.5192958176938944 -0.868067784524595 -0.29963511476178484 0.17421550443636963 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.757586393405488 -11.336125473012029
110.48627814353637 -0.46402200536651894 0.1855099914843595 -1.3132131505158844 2.7234870464979997 -0.1415850420777387 -0.6217343513490801 0.05375724233719537 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.460745247450478 -10.923860809043827
168.92220366514192 -0.9089925366762952 0.18361956952061895 1.7253727584073202 2.510013737696344 -0.20113080774838243 -0.299527226547303 0.37669409451082503 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.387848272815428 -11.90858919280266
127.79127955436707 -0.4962749481201172 0.025497055834665883 -0.5180765390396118 2.1424724459648132 -0.10212135314941406 -2.1176621317863464 0.07025257215499878 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.3649645716391055 -12.93509422333252
156.33502216563636 -0.7540971573854323 0.11130945283138785 -1.4378184331260957 2.419689726141149 -0.10871478983298122 -1.3558913840623852 0.3519766065229487 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.323399320573897 -12.286644037364344
122.28245478156624 -0.5159783741197994 0.18867010998660416 1.5562761047747493 2.830685629512085 -0.29339053127309844 -1.6945362674502655 0.04634867168573782 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.310313515570899 -10.892983576569343
137.7139968132646 -0.0033491506463843024 0.14235890141948354 1.5241941425430117 2.246331606752415 -0.46908802746757194 -0.15916227108534553 0.4145406440033117 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.305454972383721 -12.375766749019792
149.59971157226653 0.43243526337244687 0.1513297422046669 1.4306896522400407 2.2651279997474383 -0.7789724796888842 -1.7247339181496342 0.20987525419486872 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.279503220710529 -11.4837084007846
156.46322777429447 -1.422521189678204 0.15963309883437382 1.6767405370331865 2.4051685059272465 -0.14485934091880548 -1.5745672163753393 0.09770948861669637 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.1717388083461335 -11.161152264688797
154.79505333313574 -0.4540758854372664 0.11524487820773645 0.015978134898877894 2.497287921510741 -0.5069364219531103 -2.8052374280868264 0.2917894525426844 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.071792661704115 -12.010630164963882
109.57002639770508 -1.8624341487884521 0.044003307059114136 -2.0865912437438965 2.2367212176322937 -0.5866284370422363 -2.5529394149780273 0.019713240408897402 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.0566097463829065 -12.293709158377311
186.7134690284729 -0.6146615743637085 0.15615428503057494 -0.616823673248291 2.682305097579956 -0.7131632566452026 -0.17537462711334229 0.4603812576055527 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -4.049703455021689 -12.626999226546813
112.87171244621277 0.5853224396705627 0.09416790273046378 -2.784589648246765 2.448602557182312 -1.5822485089302063 -0.5420562028884888 0.329406210064888 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.9398644550223834 -12.355805710640567
189.36750072043446 -0.7550135678706353 0.1473415961654412 -1.2234324308418527 2.858431439484933 -0.9712661010727879 -0.6180546844575154 0.05194465567282779 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.917097281030233 -11.1486057312353
170.70574164390564 -0.6867216229438782 0.10576247185259609 -1.2173888683319092 2.71230810880661 -0.41641777753829956 -1.5866543054580688 0.1140479948759079 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.8874079742651837 -11.605474388430329
141.4422120505421 -0.6248335815936708 0.06761311324772465 0.4075157151823565 2.770048100271173 -0.19772226486661237 -1.6393025726369044 0.3957370875273171 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.88446740441404 -13.005159240215558
117.51766204833984 -1.2736311554908752 0.1564038300062784 -1.797289252281189 2.828117311000824 -0.15800607204437256 -1.160364031791687 0.2706560106039047 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.878328677315282 -11.63450271555625
140.18482778598508 0.23891726819655545 0.10261520161841986 -0.7891578179067205 2.793598827705768 -0.7653297841706017 -1.2037469439799113 0.25917871100362955 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.8104247459557 -12.016302192901762
142.73776172879718 0.2855940151084573 0.1533937762302785 0.9036990420539475 2.816825023323901 -0.6958475368222685 -0.23407496096573732 0.22878494052961873 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.7882387620682785 -11.523836971831017
186.1840546131134 -0.44472700357437134 0.16214486519586077 1.3725342750549316 2.6955236196517944 -0.23443901538848877 -1.153879702091217 0.3347704675912857 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.755136676153632 -11.837625249640897
197.77284179316013 0.21083913234091156 0.1391876378988717 0.15456347178682694 2.750020886975377 -1.0517406583840283 -0.5129056527024574 0.12026814283489334 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.7486725714981386 -11.34587677825213
124.65620040893555 -0.5220170021057129 0.18150846411458543 1.935681939125061 2.537804067134857 -0.15124905109405518 -1.9057860374450684 0.3184954382658005 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.7323164948192167 -11.659678804224795
108.56531158693927 0.38059181017107413 0.053816977003657555 -2.6153135809919865 2.261987130211109 -1.4789539420845002 -0.36078087902634204 0.0539015337536207 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.646175917650674 -12.156399329679784
184.03214355157883 -0.28287485680130886 0.16136801728076133 1.3023906322927692 2.748714972494653 -0.09129701463997275 -1.8165841338180786 0.35557767670680884 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.6342769234777785 -11.93402051976804
153.65972518920898 -1.9807047247886658 0.1337726577943487 -0.4783068895339966 2.968041181564331 -0.2782731056213379 -1.101337194442749 0.07270119938850403 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.626335695143566 -11.285279624728402
153.46729439729785 -0.4794105032166085 0.1333996303073759 0.9390150614792843 2.1648015241098504 -0.5545849540051249 -1.5899311660509228 0.15563361514671248 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.6198645618587966 -11.469535089316471
169.769951204425 -1.166402599328558 0.07585122133379432 -2.099078356723178 2.6519593949859406 -0.6027181875389136 -0.9836590112547778 0.05160227428726666 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.596247236567364 -11.809266170246527
154.13379948172366 0.9013435641994425 0.10297155045312346 -1.2010597908444052 2.5583530371761056 -0.8113900537931169 -2.228207735412746 0.2646642526001482 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.558863197419859 -12.030516239022734
191.38401172071588 -1.0821594537399402 0.19118285659775594 -1.0586868917515777 2.3518420981840302 -0.03822284174808033 -0.39981892103828365 0.5084668612573414 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.5542179819111714 -12.987473705427377
133.90396876395744 -0.3289587959539684 0.19468800727827482 1.6244231684520765 2.7355892573807417 -0.5151533386061908 -0.6105276801583068 0.24703777629202678 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.5396041006623378 -11.34243044327564
106.31781220436096 -1.748056709766388 0.0065409079167144685 -0.5094437599182129 2.725179672241211 -0.2920650243759155 -1.9612939953804016 0.25294247674942016 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.51795129445161 -14.747749448748392
140.66831469535828 0.38900405168533325 0.15137074141392867 1.0355254411697388 2.642298638820648 -0.6287711262702942 -0.1388007402420044 0.402529957151413 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.5147359118095896 -12.241498628123757
126.5979479653187 -0.5466874025967536 0.08542247102229691 0.5757763980039821 2.5344845289020532 -0.5625082939325985 -1.1914340408574509 0.10690112195235098 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.50800731870699 -11.80294019954764
126.88558878236121 0.9556568232912106 0.1907183941737526 1.7852618847843438 2.691440325686192 -0.6070168733345476 -2.9951829760950597 0.39625593058696207 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.5037888631165104 -11.976412034334073
111.88910880309237 -0.3278451078337019 0.11054981018506414 -0.6072672633438883 2.8139488792817464 -1.2606971957617743 -0.9110649863292792 0.10414875211237548 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.4878624524335677 -11.540009127137967
199.0411517099598 -1.6403399162378218 0.13524452986025726 -0.8530463865960534 2.8666458348590265 -0.02391649645799898 -1.511089696231724 0.2867797616556083 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.4794924787846746 -11.833745428485672
149.0660310993748 0.26255755729854124 0.17774959687886607 1.6415774349352716 2.724114246531914 -0.3914642275743043 -0.20818210963385786 0.46890594510373973 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.4690564298225537 -12.577824022163487
171.43628863617653 -1.6965584393969786 0.05077415405599539 -0.5033039987431054 2.2934197920676946 -0.5715000335110005 -0.11528520489960181 0.08022729395796763 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.459381579536022 -12.26665519250983
117.41981428764096 0.19371450363249743 0.03425373699213809 -1.3771643518244097 2.273599824861265 -1.5518583786233715 -0.5873080840663265 0.16312311087387762 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.454572892835935 -12.844450591784565
127.78042218572898 -0.18667546650210065 0.15244419063903814 -0.9738279128903145 2.39671494914292 -0.4327007376866261 -2.806566927076791 0.0813529629848984 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.438992343525739 -11.172980338921944
140.2775057570057 -0.19478890366938661 0.17169440790624294 1.725923715716366 2.356213503717394 -0.47281041589123474 -0.5735501219482511 0.14616825118338314 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.417646516831244 -11.19666120704122
185.13193387490202 0.06637627277965308 0.16331376316377436 1.0583695894706135 2.6968192269358466 -0.45184015188466553 -0.7102640432510476 0.14457484533069062 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.398389324581598 -11.24250393329813
136.6339979259955 -1.7118665508684647 0.02086582681083572 -0.6349637264208927 2.4070551218074634 -0.5806173483778623 -0.19965061977810628 0.14822286362707277 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.397816639497492 -13.304251299027376
124.56397662663227 -0.10509166631121647 0.06920521334828739 -0.5517673714579172 2.53160536153535 -0.7950560585462823 -2.3282228065673305 0.22109026757624542 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.3775606198142265 -12.294496510881554
157.2110414505005 -0.8769183158874512 0.09679937387579202 0.7720756530761719 2.5952082872390747 -0.10219091176986694 -1.775964617729187 0.2832079801797867 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.3278693439445357 -12.154273369154627
128.43635780146474 -1.0306657613139212 0.04638418743042857 -1.200261062816017 2.0918282460529136 -0.5610487022509458 -0.5095495985151755 0.4888393137587949 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.294053692254201 -14.130269462221037
120.20601377580631 -1.3249541658136867 0.1417360492088746 -1.7147757123562004 2.4813560489825117 -0.7260231737322238 -0.5278406166368415 0.48695483404543943 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.2705008792422383 -12.993951690304415
131.04467391967773 0.48332124948501587 0.19098450836710015 1.612965703010559 2.664500653743744 -0.3714696764945984 -2.6799588203430176 0.26697355091571806 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.2520192366917655 -11.42462789494702
161.93162043709276 -0.5382851178257915 0.11457894555153021 -0.22793194953885632 2.8890292267679096 -0.46381226376857043 -2.0369222002354688 0.11178556718105667 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.2468010732638426 -11.520806242767064
187.5352913229795 -1.4036192794667164 0.1522974062658959 0.885083205071556 2.832008221855891 -0.19817784005451866 -0.9809586741664891 0.1395602274210971 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.2326285501283225 -11.300108511175553
187.5352913229795 -1.4036192794667164 0.1522974062658959 0.885083205071556 2.832008221855891 -0.19817784005451866 -0.9809586741664891 0.1395602274210971 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.2326285501283225 -11.300108511175553
115.97173315295606 -0.7126113917127261 0.13054397189929134 -0.08060235567286922 2.337108252801775 -0.678235963977154 -1.211675178600993 0.5400583547392299 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.228764993303082 -14.047218673733163
182.6583513699469 0.37710306612704203 0.18970227797922237 1.2895815046135723 2.3680400841794267 -0.7803876746272596 -0.21913975924017182 0.18883182587285469 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.2152179991169447 -11.203474395102583
150.18021543213823 0.4225923457670997 0.17582790319434233 1.2633199494242238 2.4967913248229943 -0.5280121266301432 -1.8879969084857424 0.11537216257865002 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.215025747838621 -11.103350515763262
144.533193688703 0.3581580719862867 0.1595105801102322 0.4508159506579297 2.3303218252179208 -0.4541074834832237 -1.235164695918356 0.14978978060491693 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.207997484721157 -11.278126283057775
185.92256644230125 0.022045611817367305 0.17209117223855622 1.1579281655892295 2.7451533605883567 -0.7151342763105397 -0.31886651550281186 0.006041616243936901 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.1992985637348332 -10.91013192143755
121.9838559627533 -0.1625005006790161 0.17589962995694278 1.3467228412628174 2.3271343111991882 -0.3704647421836853 -0.9679489731788635 0.5568269423246384 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.199110068749288 -14.482148828419678
134.59088251590055 -0.4841172170526853 0.13005430473636823 0.7382912560132366 2.186916089623957 -0.33986741224976713 -2.055456178527537 0.41995738033174534 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.175260138410175 -12.500522875288373
178.0112862586975 -1.7567604780197144 0.14702321431222481 0.19758403301239014 2.7703330516815186 -0.2862558960914612 -1.3652297258377075 0.37032824020385746 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.1469029992273256 -12.09683447791046
115.74811921403868 -0.5880071734582215 0.13549435405629737 0.7137043620651857 2.39562092602903 -0.7850265590611634 -0.7550015668123602 0.18754952714903972 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.1286149365189035 -11.533719429280058
181.12580966336418 -1.252421670127891 0.16580848243869645 0.7733586083835116 2.9305585708602 -0.2681600244364133 -1.4134335732817396 0.23190220148612697 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.1284181914837776 -11.455786836310168
181.12580966336418 -1.252421670127891 0.16580848243869645 0.7733586083835116 2.9305585708602 -0.2681600244364133 -1.4134335732817396 0.23190220148612697 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.1284181914837776 -11.455786836310168
163.95015943717232 -0.2547241520693553 0.1429364387028994 0.8697998590187206 2.1648906614574757 -0.5083685821797195 -0.2436759526602552 0.22795614470824993 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.093981408318856 -11.59151892663062
156.26255439316267 -1.1829526317989618 0.03449530484940264 -1.005855794059389 2.3537955976485594 -0.43817382880511646 -1.0693629282655595 0.027728658642245274 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.0599978737624682 -12.551635152627776
192.11073069587778 -0.8902718808624024 0.17959401586558202 0.5537779622002046 2.3220416945906566 -0.32771620088494213 -1.0644110843445733 0.35276964570651576 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.0537610000766975 -11.815179314891896
117.16657775741183 -1.9274353664316706 0.07290128761831824 -2.1159417983562436 2.4040833505006787 -0.9525613331893283 -1.4808461240984139 0.17156927295217422 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.017812010254314 -12.110683027059395
178.3099172589178 -0.5236232134778607 0.1617104042528075 0.9453220805416502 2.808509310590826 -0.317649340725767 -0.9397202504864466 0.3088311436160502 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -3.010178463065933 -11.736683041956118
