luminosity_distance KNtimeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B Ebv log10_E0 thetaCore thetaWing ksiN L0 dL b q ts log_likelihood log_prior
124.60420467301043 -1.721437037993959 0.1422704274646318 0.14815212901823305 2.0595463170158457 -0.7260853583063165 -1.1003412749548858 0.4590385062013987 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -14.428555375782402 -12.707506936644492
172.93371640433062 -0.8763815545454963 0.10850352069966508 -1.7875245910723172 2.282188146097627 -1.5653270308036 -2.087284415898189 0.009058312796275931 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -13.706417057645112 -11.373736586389622
102.4917057945499 -0.8935789378685783 0.08727839998777359 -1.8038789608291907 2.1000135327006033 -1.410348581505633 -0.9382261668721674 0.4168090722472395 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.779850430013383 -12.877379211103795
123.30927747778587 -0.7962122540959022 0.08290920350420096 -2.7101329652174915 2.652786412212969 -0.5955901321606509 -1.9088743098149852 0.5426142849532384 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.626221404698569 -14.581813542145127
197.55885067347242 -1.3831361707337195 0.1588215497901707 -2.7178175756959084 2.3731256629961086 -1.3715071137106514 -0.28619129979828983 0.3336894849077297 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.374227625740449 -11.853617377060518
176.2141473749399 0.5483417836138549 0.1554683957719498 -0.6149839368480237 2.4478558251726534 -1.339227035919904 -1.3947808648146167 0.11684073128315782 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.024003066221834 -11.228505976359411
134.9559187889099 0.1355571150779724 0.13021416135498962 -2.0438607931137085 2.2709584832191467 -1.4821994304656982 -1.980526864528656 0.23037563202381134 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.937741415392335 -11.69120769420296
155.36606311798096 -1.7558068633079529 0.10776497416656063 -2.5407021045684814 2.6409302949905396 -1.3465783596038818 -0.16113173961639404 0.5706884856462479 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.267554166352204 -17.177047658368696
178.90273869162687 -0.8271296894357472 0.08901954051108028 -2.425774391554527 2.214897004785617 -1.2554110381785857 -1.4095958093585557 0.4825446752115268 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.254412777113341 -13.406706935567847
123.06865695446217 -0.8570645365878122 0.15047361323880534 -1.3304577877722883 2.138510377870402 -0.7715985485968107 -0.4399615099965861 0.5408777012265841 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.22452057507398 -13.931736252463608
195.04176354131494 -1.3876183020526338 0.15490153047019758 -1.3821020454270128 2.169273324667634 -1.206545164475354 -1.3711205804425415 0.46924117688151 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.202534356477884 -12.717385500300924
148.13861526278367 0.24969484576216683 0.15911591604421746 -2.6897500740493596 2.9578672145528833 -0.33415057083187705 -1.1784619682304271 0.356400467933099 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.159882276424163 -11.951756619537019
175.0338413985474 0.04748326220756649 0.14531285672428143 -1.5387580311727844 2.758053024353663 -0.5082148536537261 -2.775758448530984 0.39544809093516153 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.150116256384571 -12.241197355286829
108.81590376705607 -0.3587227109161737 0.12912171701327882 -2.1433120406484196 2.0892278149575345 -2.3212358092348984 -0.5708214831535292 0.044412913637663524 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.089079774780302 -11.265395570793958
131.18793099641024 -0.4243553329572285 0.09656023137872365 -2.3526874622164997 2.2739061064524 -1.7459308456085907 -0.4434514965592564 0.3471277276975842 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.049669768001813 -12.40652033680579
164.8681342601776 -0.9875116944313049 0.17567535140778204 -0.5230085849761963 2.5251116156578064 -0.5624409914016724 -2.399269938468933 0.49694509291648864 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.011056752467107 -12.905418638503313
164.94762409137374 -1.1628323728446963 0.17797496662813164 -2.421782229093205 2.098620291197013 -1.452047141873455 -0.12983319016881367 0.11219417767274707 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.004872598434314 -11.084410650495904
126.88030891226325 -1.5060146337482334 0.13712208962412398 -2.0268163305958256 2.630583476452676 -1.056387861372305 -0.30523881442795986 0.42914312189386944 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -10.960609996414865 -12.510067264320782
