Nested Sampling Global Log-Evidence           :   -0.197125037600594233E+02  +/-    0.626769247586408118E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.197125037600594233E+02 +/-    0.626769247586408118E-01
Local Log-Evidence   -0.197125037600594233E+02 +/-    0.626769247586408118E-01

Dim No.       Mean        Sigma
   1    0.820680272389978249E+01    0.120957615841335242E+01
   2    0.370914297541103508E+02    0.906726660554355135E+01
   3    0.565858313593020856E+00    0.158682366723719298E+00
   4   -0.170928468158368396E+01    0.263510285288335921E+00
   5   -0.264777095213107971E+01    0.219436216518986371E+00
   6   -0.210077551535087981E+01    0.302992281969713173E+00
   7    0.292312985038658657E+00    0.159175801290071639E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.945417604055264782E+01
   2    0.490461863739462061E+02
   3    0.775230379385849488E+00
   4   -0.193109409750056726E+01
   5   -0.254702299942065880E+01
   6   -0.161611805597817915E+01
   7    0.381837331783188905E+00

MAP Parameters
Dim No.        Parameter
   1    0.945417604055264782E+01
   2    0.490461863739462061E+02
   3    0.775230379385849488E+00
   4   -0.193109409750056726E+01
   5   -0.254702299942065880E+01
   6   -0.161611805597817915E+01
   7    0.381837331783188905E+00
