Nested Sampling Global Log-Evidence           :   -0.226021163955450746E+02  +/-    0.778513328075852995E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.226021163955450746E+02 +/-    0.778513328075852995E-01
Local Log-Evidence   -0.226021163955450746E+02 +/-    0.778513328075852995E-01

Dim No.       Mean        Sigma
   1    0.886832865946670239E+02    0.339743321177179567E+02
   2    0.385451937284708812E+01    0.795321303615053821E+00
   3   -0.177607331519790662E+00    0.554425153364009771E+00
   4   -0.447877306366661343E+00    0.445713969068685101E+00
   5   -0.166394255056799700E+01    0.183580433793945147E+00
   6   -0.191677349386150642E+01    0.647515280242822677E+00
   7    0.244928074257448974E+00    0.153911118587855666E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.604946787213090005E+02
   2    0.379175543764237188E+01
   3   -0.726466760036296066E+00
   4    0.240740068782665517E-01
   5   -0.175783673416561537E+01
   6   -0.813324655187369849E+00
   7    0.478460595728232407E+00

MAP Parameters
Dim No.        Parameter
   1    0.604946787213090005E+02
   2    0.379175543764237188E+01
   3   -0.726466760036296066E+00
   4    0.240740068782665517E-01
   5   -0.175783673416561537E+01
   6   -0.813324655187369849E+00
   7    0.478460595728232407E+00
