luminosity_distance KNtimeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B Ebv log10_E0 thetaCore thetaWing ksiN L0 dL b q ts log_likelihood log_prior
153.82092099918185 0.14876438082596596 0.18444806267923708 0.030435334795812174 2.764362782576871 -1.0279280798951012 -0.4322881280391453 0.15168041290072806 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -15.456715309314596 -9.085660540019713
155.51787450752292 0.12440040771223485 0.11544272828633759 -0.9506234339991111 2.54096504483492 -1.3894595640769702 -0.4388886871420312 0.5495195249619811 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -15.408542200824195 -12.462482064926196
163.76895435663323 0.2440202495199317 0.1880640498635104 0.7785600397217394 2.621292186487066 -0.7113658971949763 -0.9262440021451837 0.56855058871104 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -13.68726839403185 -13.760517209244345
165.3871539860697 0.46866529705855275 0.13802938281126415 0.8217914456719866 2.004711136194344 -0.9502623542591335 -1.764332758269007 0.1757988962871691 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -13.645175786081618 -9.43209817355616
177.58978248398395 0.3746239226793874 0.16014354672497863 1.3067772892949279 2.15108423508196 -1.2599059592528508 -2.1215094546574123 0.3289142345636426 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -13.418469092015647 -9.772467306384446
166.25665618767889 0.3948065311776128 0.0931593266406158 -1.4765550910328695 2.3292032653935695 -1.652563040715407 -2.103321438150643 0.31913437874325395 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -13.0865166523287 -10.272015203875359
152.62101298132464 0.003250592084648743 0.1358301911722309 -0.8864872063616622 2.6292189801647345 -1.7309641797122526 -1.0942332165172834 0.44891402660669727 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.994481001636727 -10.61486216487966
168.42935389618498 0.21357630157898153 0.15814457556708228 -0.7688996356274571 2.724987010164212 -0.8476717430587088 -1.7295723263824034 0.3362980760456239 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.837326286929878 -9.815716905306957
176.16284307905167 0.02751187954582865 0.13853344723621316 -0.12939557160669413 2.9026560464571736 -1.0905508632878123 -2.4806166068516484 0.2723503656832283 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.574358852899653 -9.707459316454491
158.83803650777438 0.21892373175939014 0.1801937840713751 1.2216439023206256 2.191465662950337 -1.9889498528714282 -2.6031688372411717 0.11208920828163466 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.451442724252216 -9.01880114029973
182.68345628319256 0.14392770555450032 0.16411389512996638 -0.9123196339833433 2.5674508593416823 -0.6317203986284103 -1.376973123221974 0.48490646065084364 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.32798955068775 -10.771685691349232
160.9187000927864 0.30241196245289637 0.10510196167507165 -2.2937877816162793 2.3644487944928962 -1.4055331467976764 -1.622636392851364 0.13962935326427908 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.197417832672537 -9.616021285988273
182.9981951358151 -0.08383976123750903 0.14435053397985348 -0.49885056480082435 2.2972409144761006 -1.8720533144332263 -0.45312627250801096 0.33212649172221587 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -12.15624667748552 -9.888771147061847
165.02729166310786 0.5384779568470527 0.1414933196940796 -0.3454681873704182 2.536832200366156 -1.703772182669223 -0.7441969989094801 0.3997629412103775 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.938430631839628 -10.239213369369654
172.64701579165984 0.15920753131628487 0.1696028229593606 0.8160382111885145 2.414209405564757 -1.1632155047155373 -0.2582593362413035 0.4365126091935658 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.845594437538134 -10.29883127274186
159.31614185128498 0.8664446291540948 0.15978807884734714 0.15173954170776582 2.4840890201528825 -1.9030306785949156 -0.6282178876500142 0.40147808023553255 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.82318787718393 -10.128522109677792
157.88450247934455 0.7471005868545081 0.17507969322996025 0.27429043727629754 2.9613782248662055 -1.0103297490823837 -1.1992995119840213 0.3137683884942807 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.79430666961272 -9.62378646995122
157.6488516541099 0.5171467178342952 0.11722253225513105 -0.29340634152436174 2.238582908217433 -1.8007813487720046 -2.7188326823012456 0.13761239124972025 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.794073050893182 -9.502677850633933
154.09692807603062 0.2114813891429306 0.12107433600595777 0.23443146722480446 2.1669781095019656 -2.04467779141991 -2.5735259186463297 0.08043169758061582 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.780890436571719 -9.34694375139386
159.6183411480515 0.5498163925055053 0.1552116271685202 0.8437001022693416 2.298724731325291 -1.7710641113835708 -2.5424549592679417 0.08776493600259262 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.55342701908977 -9.115151035975233
176.72212990794372 0.688520532697808 0.1763365795411493 1.770649869165716 2.12230997295873 -1.5438916577770665 -2.0884313789939486 0.2664474440396 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.512317021491908 -9.448681600351561
166.94474431490093 0.03701986758254697 0.15656625010638026 -1.2744630597304138 2.5705620029299303 -1.1779093868180421 -2.6802588580215647 0.010773960675171156 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.508476807193837 -8.959091763409221
181.6259208014506 0.4181426068812061 0.16960560895732435 -0.26796983297170396 2.427208152779763 -1.5764443587325165 -2.1480972318990856 0.1309284621347539 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.46143623444194 -9.120527986985623
166.16985532745343 0.01516531016790279 0.18869112019802978 1.4440513519792084 2.1933324193435513 -0.9983395815078153 -0.6102567569036674 0.4150657511706506 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.349369449549588 -10.046775589040253
179.15942504738376 -0.03274290487963073 0.1275625818852029 0.24312480816550153 2.1706044303926295 -1.4174862435506428 -1.789122861139103 0.45722904111582025 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.305658427989261 -10.747007185200507
181.91046516152085 0.2224520792259668 0.14211955121279934 -0.7697959307202025 2.463828689820386 -0.6492320042465143 -2.527671047076055 0.37788313165366527 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.295138256370768 -10.115499481014751
166.38497065356387 0.6013031248882432 0.14328276535413034 -0.4413927240250013 2.558544850689961 -1.4880365154807338 -0.3905742383949713 0.5242889444023582 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.29355484254608 -11.504410331581376
158.45008031813984 0.2617133750428119 0.1898210099001788 1.5350649028395154 2.3631135236576712 -1.4161579605472043 -0.8946958338115438 0.5120115827908539 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.287451956126674 -10.998452055064007
152.34002790537224 0.017406936470916887 0.18482782950967694 -0.3825083906177009 2.783531650142424 -0.8156544277434374 -1.4452050126140419 0.34173112247246096 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.27693691276121 -9.684610443045061
164.85517575404205 0.2534956925624019 0.1565116454285112 -1.5271064318022258 2.44049031578133 -0.9742481400837595 -0.699921950789542 0.3912461556230458 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.238009624678112 -10.090927313138419
182.4871348228614 0.15268958636273824 0.1738742282042179 -0.6424531126436639 2.8078457246629682 -0.3627019505573017 -2.5505623806117343 0.4112472113217082 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.174548202682667 -10.103677054169765
156.17987928633684 -0.02663582348357152 0.1454185485653574 0.1788172940661168 2.352273082696365 -1.7019964344832914 -0.7311420750113671 0.43031550689402365 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.174026745589856 -10.406807267882442
165.69659469804648 0.707836073554158 0.18335667596134075 1.2489248703990112 2.827230927995691 -1.6269379241340178 -0.5781491305041713 0.2480317116202136 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -11.125185758465605 -9.351615086787032
