Nested Sampling Global Log-Evidence           :   -0.423142057944536418E+02  +/-    0.982575044183442020E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.423142057944536418E+02 +/-    0.982575044183442020E-01
Local Log-Evidence   -0.423142057944536418E+02 +/-    0.982575044183442020E-01

Dim No.       Mean        Sigma
   1    0.351912301404925358E+02    0.134895786358265877E+02
   2    0.260256136815831063E+01    0.925494839338734332E+00
   3   -0.663736528281686278E+00    0.252222333111662034E+00
   4   -0.167036988960212063E+01    0.274668384732165871E+00
   5   -0.190418110203833790E+01    0.664102754937934137E-01
   6   -0.255117546098253722E+01    0.292344401238551876E+00
   7    0.225952523497083863E+00    0.153998623541274415E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.244737630673956446E+02
   2    0.123052996742547882E+01
   3   -0.916089987627943025E+00
   4   -0.172436246884424449E+01
   5   -0.198207030138122131E+01
   6   -0.272010932923442583E+01
   7    0.101261059237150147E+00

MAP Parameters
Dim No.        Parameter
   1    0.244737630673956446E+02
   2    0.123052996742547882E+01
   3   -0.916089987627943025E+00
   4   -0.172436246884424449E+01
   5   -0.198207030138122131E+01
   6   -0.272010932923442583E+01
   7    0.101261059237150147E+00
