# t[days] ztfg ztfr
0.01000 15.643 15.458 
0.51000 19.426 19.241 
1.01000 20.040 19.855 
1.51000 20.427 20.242 
2.01000 20.728 20.543 
2.51000 20.988 20.803 
3.01000 21.222 21.036 
3.51000 21.436 21.251 
4.01000 21.639 21.454 
4.51000 21.836 21.651 
5.01000 22.022 21.837 
5.51000 22.208 22.023 
6.01000 22.386 22.201 
6.51000 22.563 22.378 
7.01000 22.735 22.550 
7.51000 22.904 22.719 
8.01000 23.074 22.888 
8.51000 23.232 23.047 
9.01000 23.390 23.205 
9.51000 23.547 23.362 
10.01000 23.697 23.512 
10.51000 23.838 23.653 
11.01000 23.979 23.793 
11.51000 24.119 23.934 
12.01000 24.253 24.068 
12.51000 24.373 24.188 
13.01000 24.494 24.309 
13.51000 24.614 24.429 
14.01000 24.734 24.549 
14.51000 24.848 24.663 
15.01000 24.949 24.763 
15.51000 25.049 24.864 
16.01000 25.150 24.965 
16.51000 25.251 25.065 
17.01000 25.351 25.166 
17.51000 25.446 25.261 
18.01000 25.529 25.344 
18.51000 25.612 25.427 
19.01000 25.695 25.510 
19.51000 25.778 25.593 
20.01000 25.861 25.676 
