# t[days] ztfg ztfr
0.01000 21.939 21.790 
0.51000 17.670 17.521 
1.01000 16.928 16.779 
1.51000 16.681 16.533 
2.01000 16.494 16.346 
2.51000 16.335 16.186 
3.01000 16.196 16.047 
3.51000 16.072 15.924 
4.01000 15.962 15.813 
4.51000 15.861 15.713 
5.01000 15.769 15.621 
5.51000 15.685 15.536 
6.01000 15.606 15.458 
6.51000 15.533 15.384 
7.01000 15.464 15.316 
7.51000 15.400 15.249 
8.01000 15.339 15.183 
8.51000 15.282 15.120 
9.01000 15.228 15.061 
9.51000 15.176 15.005 
10.01000 15.127 14.952 
10.51000 15.080 14.901 
11.01000 15.034 14.852 
11.51000 14.991 14.806 
12.01000 14.949 14.761 
12.51000 14.909 14.718 
13.01000 14.892 14.699 
13.51000 14.878 14.683 
14.01000 14.865 14.667 
14.51000 14.851 14.651 
15.01000 14.837 14.635 
15.51000 14.824 14.620 
16.01000 14.811 14.605 
16.51000 14.798 14.590 
17.01000 14.785 14.575 
17.51000 14.772 14.560 
18.01000 14.777 14.562 
18.51000 14.804 14.584 
19.01000 14.832 14.606 
19.51000 14.861 14.629 
20.01000 14.890 14.652 
