luminosity_distance timeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B log10_E0 thetaCore thetaWing ksiN L0 dL b q ts Ebv log_likelihood log_prior
182.6676648073273 0.12873842075919603 0.034114264747434175 -1.7547212733006758 2.837011835776784 -0.0975339931161252 -2.687597158011023 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -24.21198218361809 -11.71102310091151
173.54008275824012 0.042033834630560374 0.12254186661904477 -1.0125264145557882 2.793506445316651 -0.735314848807973 -2.0234278565379644 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -22.869030620999105 -10.434596012947265
169.24527386829163 0.13734831515487209 0.13191696984634332 -1.1563756494564705 2.649996801611083 -0.3450868321133993 -2.6790808076363906 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -22.74221949486767 -10.36127407113011
166.332264770031 0.8836913881593096 0.10961843804019698 -1.7994254321950742 2.028973382911561 -0.665154338343048 -1.1148242090050384 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -22.549541627466866 -10.545542659842202
184.6852438780557 0.33945487292078236 0.12673155971667088 -1.4044067118341124 2.224943479993305 -0.43582000521499964 -2.077513961172922 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -22.305913833182505 -10.401151850218104
154.42716562962045 0.12255106604828839 0.02055190909387494 -1.9760871317532538 2.318524653950547 -1.221808892090701 -1.0478084441185609 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -22.29891120347648 -12.2176613086466
157.01410771037882 0.5588581992794301 0.0959814837532346 -1.4224566006157127 2.839579659577944 -0.48472216089561826 -2.5868042706726104 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -22.28192582680886 -10.677925331414484
167.34643029077753 0.8048454002173233 0.06846744384235831 -2.567504518525234 2.2960930474962966 -1.0151115591185098 -1.316426098924388 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -22.014423804912376 -11.014967808083489
164.46227855545388 0.21051918838908032 0.15524110008911304 0.6635100261114846 2.643890529013317 -0.18265368738311016 -1.4119759807319219 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.89620883407249 -10.199585219355303
152.6328965398785 0.11916460988377797 0.10693555242655077 0.13224165809149202 2.0462576385191578 -0.35832956459781595 -0.41998810506645645 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.858605541555814 -10.570225003896368
163.8677430590691 0.776605228303603 0.10961221818959398 -2.032299747450855 2.511383826844607 -1.2126235211135943 -0.9433813186651792 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.784500935554917 -10.545599174922284
158.46710725823465 -0.057630326071678346 0.1683572292480806 -0.5166887518205607 2.362574177193418 -0.70938205317773 -1.2827466745580853 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.740063049656072 -10.119185158379025
166.26771422724758 0.21886305620872434 0.07512316681728233 -0.6335228072942298 2.219542799374721 -0.07550294074381325 -2.4236958953060723 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.633008175369774 -10.922356515310064
158.37723696877237 0.8283670439099571 0.1108365304274496 -2.863141898825324 2.408661986336626 -0.6038730314748539 -1.521589970303745 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.574999223408504 -10.534536625575745
184.50711132301998 0.3446713122503626 0.12462144153517639 -1.8189773523002422 2.4631580036619005 -1.0644360344005208 -0.057576383621253946 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.55456758847983 -10.417853831489841
159.9069263122567 0.37637922443235616 0.027853422272485842 -2.9545680578700164 2.6968135253711907 -0.15521436825960722 -2.1986941487738108 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.4818261719535 -11.913718211793434
166.63249687350418 -0.027315173179196586 0.16694847429293305 0.6664404251968912 2.7956435616053423 -0.11772228088281889 -2.0496191770111265 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.418744271136124 -10.127509142017184
177.5881356721569 0.6610679649020484 0.10329714419134436 -2.338507093010494 2.21225361872098 -0.6738507013400725 -1.1050105142999072 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.392226821278186 -10.604714033723942
171.5601692917283 0.30529526915080507 0.1280918429606849 -1.9199658681461442 2.7199928926064443 -0.9843950129583878 -0.8979638598069881 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 0.0 -21.3584787260288 -10.390533301505128
