Nested Sampling Global Log-Evidence           :   -0.874083791457813675E-15  +/-    0.923903378387329656E-09

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.874083791457813675E-15 +/-    0.923903378387329656E-09
Local Log-Evidence   -0.874083791457813675E-15 +/-    0.923903378387329656E-09

Dim No.       Mean        Sigma
   1    0.168087135877867723E+03    0.101277322644450596E+02
   2    0.455977611156413221E+00    0.318120408006567101E+00
   3    0.128149661197090203E+00    0.472519133549234513E-01
   4   -0.759795948397369407E-02    0.172546655257670589E+01
   5    0.249652896780753553E+01    0.283487881298425670E+00
   6   -0.148890305170789383E+01    0.876766676910380793E+00
   7   -0.149172208202071510E+01    0.867863905316004325E+00
   8    0.275127832261682859E+00    0.161132813421179938E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.174747009575366974E+03
   2    0.381535404920578025E+00
   3    0.105762471852596088E+00
   4   -0.121738886833190918E+01
   5    0.271230810880661011E+01
   6   -0.416417777538299561E+00
   7   -0.158665430545806885E+01
   8    0.114047994875907902E+00

MAP Parameters
Dim No.        Parameter
   1    0.184024883806705475E+03
   2    0.797005701065063521E+00
   3    0.142853418900755091E+00
   4    0.258323335647583008E+01
   5    0.202264600992202759E+01
   6   -0.267559647560119629E+00
   7   -0.195723277330398560E+01
   8    0.320996402049064655E+00
