luminosity_distance KNtimeshift inclination_EM log10_n0 p log10_epsilon_e log10_epsilon_B Ebv log10_E0 thetaCore thetaWing ksiN L0 dL b q ts log_likelihood log_prior
165.73107121428046 0.1316099570779537 0.17367823489647452 -1.164775829296575 2.248353208174504 -0.8157549888675795 -0.2942483958503561 0.11620354018644381 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -41.068436982762194 -9.064222890452669
162.39830785580526 0.18825466475216832 0.17671822266673037 -1.0730553990624185 2.0515081533348076 -0.32259349221649547 -2.133407262408255 0.0935258212938039 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -38.87283023005109 -8.99853431084266
160.0862512371938 -0.07156416423924525 0.14799263232059595 -1.9322964687324262 2.119766377908055 -0.42773544979671696 -1.6717124280443534 0.05583276501260416 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -38.793761075888355 -9.098603409860281
170.76082559608747 0.06136635461301551 0.18141132405631222 -1.9544185754559291 2.3546380786762775 -0.8521909439872974 -0.47574739097736884 0.07728253994847549 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -38.23884412225249 -8.939247435238162
170.94718989859814 0.2869490640407185 0.16065982863063985 -1.7449662329594875 2.181860994977912 -0.7595238782895026 -1.3815600655454232 0.14505404659250862 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -38.2083472745643 -9.206740876092157
154.08238073956886 0.0956668987842644 0.1701682289599071 -2.7307996566114765 2.255397727924703 -0.7330806216243113 -0.1995234116030966 0.07000613013530185 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -37.77330533856641 -8.987977311382773
154.75357457681142 0.058475539804186044 0.18762701354564726 -1.2928436113742579 2.3757684712713663 -0.867495740049288 -1.3879834304489298 0.08450766452792635 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -37.688457199438616 -8.92064182063639
169.91311389362838 0.1592361657676988 0.14910074551934074 -2.160951354671525 2.113639115585187 -0.9697825763492514 -0.08873498697712634 0.05067003251958766 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -37.64650671769397 -9.081253932571483
150.5909100229419 0.05293006937735628 0.17415682310070715 -2.045327361970347 2.4659107325475778 -0.48645392570042345 -0.5383541806851078 0.39254640419281456 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -37.22963703082888 -9.992279264931748
160.28626525976438 0.04449158825845387 0.15885161120766708 -2.9861601196016134 2.43562518316517 -0.11225697534980306 -1.1765812132520377 0.4404101361521803 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -37.161472535507244 -10.39283193122405
166.91722421058074 0.9237829647419874 0.12105660189689045 -2.8860850750787614 2.0502117716343635 -0.5470216466139766 -0.7464695077178343 0.27401165133915284 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -37.158514898510596 -9.847107985574148
184.7319257918674 -0.01327426362437191 0.1897294307899492 -1.4326194674008388 2.606230427355606 -0.603420215414356 -0.9906085578730011 0.22879500473365152 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -37.071679283193134 -9.260233404643243
177.32063450436834 0.3439365147708946 0.13195645757960553 -2.788324254758769 2.1765936269233634 -0.44785495293757993 -0.6554093899934625 0.4704610640081545 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -36.902324469780716 -10.83537618534324
153.246930915204 -0.07427052941428594 0.17534627801650773 -1.9015716025848626 2.6575733522605085 -0.8879331135683182 -1.2603711391165113 0.06718383978778149 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -36.625306154754824 -8.952698903515465
183.27442138752798 -0.02183254678767302 0.18065752903820242 -1.9775881709155536 2.556289623770629 -0.6910896603192507 -0.7234247766378217 0.19672000191666608 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -36.49382854872451 -9.219422990687892
172.0280637008939 0.13477896922149443 0.15599525026447914 -1.8978096648029397 2.3684667846272336 -0.19343923640247862 -2.090567515614473 0.24889765135138894 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -36.43957054439642 -9.51434549736146
156.07000968675885 -0.047484813203902146 0.18075430713648472 -1.76746452937624 2.3405797588305295 -0.5278358426943459 -0.5664009996217212 0.5094460256365636 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -36.207228200485694 -11.005227095446289
181.86514539073244 0.5609071631555022 0.12632312784218927 -2.9120794645381194 2.2078228749207254 -0.16926336695207267 -1.23522847937262 0.3956513657922677 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -36.20017353156592 -10.328407679719852
165.48772045507116 0.015176217629233782 0.1608252119616469 -2.742375071308463 2.7873459131164493 -0.25908696054222613 -1.0645940912492602 0.36906753735431985 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -36.16393948918212 -9.948472375709178
182.4441299978231 0.14968563762685233 0.16330849933941308 -1.8244412858771542 2.147702774213701 -0.20923518983782818 -1.3591607531637433 0.29803818390811204 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -36.096905179914316 -9.633678507758603
157.8798147549845 -0.019306288388124093 0.16336765539753786 -2.8825890282960516 2.781769493710814 -0.5215847510289029 -0.4464191882969031 0.42531108722337935 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -36.07521385798429 -10.256730044114505
183.37783454049216 0.010748819148517427 0.1760928407639677 -2.0908890970607 2.687761773273292 -0.1736723045841524 -1.5283228502008155 0.2856752923017077 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -35.91729973699388 -9.514957941309913
163.41770584609 0.04387036465877325 0.1899819595932107 -0.8569786974644842 2.123118731892783 -0.4603318182922149 -1.8063320079839764 0.13863800761898515 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -35.875408460902584 -9.025916064158233
150.21873121553108 0.02067770757641059 0.1522900436588548 -2.926150612998628 2.3217595253404344 -0.7009569965899254 -0.9658390061716835 0.22074017674591662 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -35.82870873296857 -9.454735570432508
174.92705849494948 -0.015426584423653023 0.1944594466132272 -1.921809310865453 2.274644792458899 -0.36240030766157805 -0.8567290592631682 0.11404843676763998 53.0 0.05 0.1 1.0 0.0 3.09e+19 6.0 0.0 0.0 -35.799750118503 -8.947768623577982
