Nested Sampling Global Log-Evidence           :   -0.589216066366254587E+01  +/-    0.443517096299593169E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.589216066366254587E+01 +/-    0.443517096299593169E-01
Local Log-Evidence   -0.589216066366254587E+01 +/-    0.443517096299593169E-01

Dim No.       Mean        Sigma
   1    0.291841710611368743E+01    0.109447922673971343E+01
   2    0.316374167270399305E+02    0.928695810758122064E+01
   3    0.519485651264000481E+00    0.173173477962467182E+00
   4   -0.272874253991012727E+00    0.756850153725719510E+00
   5   -0.210464162661299392E+01    0.551926020440532739E+00
   6   -0.110565703144400107E+01    0.581740096291821773E+00
   7    0.298288999302623425E+00    0.157764678204846520E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.407521901397332531E+01
   2    0.154478180819586388E+02
   3    0.720361647536165717E+00
   4    0.253478910571095728E+00
   5   -0.230364049461690756E+01
   6   -0.678935128786515740E+00
   7    0.334657661985412025E+00

MAP Parameters
Dim No.        Parameter
   1    0.407521901397332531E+01
   2    0.154478180819586388E+02
   3    0.720361647536165717E+00
   4    0.253478910571095728E+00
   5   -0.230364049461690756E+01
   6   -0.678935128786515740E+00
   7    0.334657661985412025E+00
