Nested Sampling Global Log-Evidence           :   -0.113335884945124334E+02  +/-    0.628266266689065100E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.113335884945124334E+02 +/-    0.628266266689065100E-01
Local Log-Evidence   -0.113335884945124334E+02 +/-    0.628266266689065100E-01

Dim No.       Mean        Sigma
   1    0.145217530633491776E+03    0.275703229325644479E+02
   2   -0.820002131694269942E+00    0.674056324427619646E+00
   3    0.145716152394639697E+00    0.275095633389976640E-01
   4   -0.184200829577514869E+01    0.620576746467231932E+00
   5    0.249621348110000740E+01    0.241923185168684357E+00
   6   -0.338891018093992191E+00    0.202584318187771811E+00
   7   -0.966887438947197086E+00    0.571138600022039977E+00
   8    0.240370796756915667E+00    0.147138991016884435E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.119977991350072713E+03
   2   -0.184654628262830522E+01
   3    0.163831780774920666E+00
   4   -0.204955839286258756E+01
   5    0.291462178847417075E+01
   6   -0.430936182104621146E+00
   7   -0.518856131376248975E+00
   8    0.298105613043946172E+00

MAP Parameters
Dim No.        Parameter
   1    0.145925553980894762E+03
   2   -0.502772758907721107E+00
   3    0.171332179394712292E+00
   4   -0.180997691363148716E+01
   5    0.266671334422670991E+01
   6   -0.450571795949191056E+00
   7   -0.154424958384818289E+01
   8    0.108692726024086986E-01
