Nested Sampling Global Log-Evidence           :   -0.834145558358240713E+01  +/-    0.563320407814459495E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.834145558358240713E+01 +/-    0.563320407814459495E-01
Local Log-Evidence   -0.834145558358240713E+01 +/-    0.563320407814459495E-01

Dim No.       Mean        Sigma
   1    0.149132641459543379E+03    0.269180972069469426E+02
   2   -0.716732984335195500E+00    0.700307952881397799E+00
   3    0.168723001873656603E+00    0.212382485242802767E-01
   4   -0.183194891297097295E+01    0.703116368433986394E+00
   5    0.240395398186137310E+01    0.236746544922538410E+00
   6   -0.810683570921143848E+00    0.404942953134746042E+00
   7   -0.150574908073335756E+01    0.766663236609689047E+00
   8    0.277493235799467219E+00    0.153417523055976085E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.154988672823753632E+03
   2   -0.172048609126763097E+01
   3    0.192068558420013830E+00
   4   -0.270607810526583403E+01
   5    0.242153684876467290E+01
   6   -0.355966322555758552E+00
   7   -0.125559578333962696E+01
   8    0.180150811310315490E+00

MAP Parameters
Dim No.        Parameter
   1    0.154988672823753632E+03
   2   -0.172048609126763097E+01
   3    0.192068558420013830E+00
   4   -0.270607810526583403E+01
   5    0.242153684876467290E+01
   6   -0.355966322555758552E+00
   7   -0.125559578333962696E+01
   8    0.180150811310315490E+00
